Fd,F,Error,Input
2,1.864189992,0.135810008,2.434572038
2,1.844403958,0.155596042,2.436445375
2,1.866517592,0.133482409,2.43782765
2,1.893466091,0.106533909,2.438673805
2,1.872763598,0.127236402,2.439601651
2,1.88465894,0.11534106,2.440809092
2,1.898037653,0.101962347,2.442021315
2,1.911375175,0.088624825,2.443263034
2,1.862015319,0.137984681,2.444605505
2,1.901761829,0.098238171,2.44633805
2,1.940819025,0.059180975,2.446911947
2,1.894247103,0.105752897,2.4473954
2,1.937538316,0.062461684,2.448988929
2,1.951204348,0.048795652,2.450774901
2,1.969808497,0.030191503,2.452061802
2,1.912472265,0.087527735,2.452808732
2,1.918617129,0.081382871,2.453176826
2,1.871099526,0.128900474,2.454042454
2,1.955556087,0.044443913,2.456299617
2,1.971529355,0.028470645,2.45763089
2,1.986770988,0.013229012,2.457882708
2,1.958010077,0.041989923,2.458010863
2,1.906546067,0.093453933,2.459011556
2,1.954710019,0.045289981,2.46055599
2,1.980500734,0.019499266,2.461464289
2,1.984340835,0.015659165,2.462504129
2,1.988528468,0.011471532,2.46303987
2,1.98228116,0.01771884,2.463616915
2,1.972083628,0.027916372,2.464540324
2,1.990239382,0.009760618,2.466190985
2,1.97467438,0.02532562,2.467307911
2,1.962187028,0.037812972,2.467896392
2,1.881847897,0.118152103,2.468449468
2,1.989298992,0.010701008,2.469109953
2,1.991768351,0.008231649,2.470613
2,1.9971809,0.0028191,2.471530932
2,1.982593055,0.017406945,2.472067694
2,1.990002383,0.009997617,2.472485553
2,1.991352267,0.008647733,2.472793747
4,2.190529573,1.809470427,2.479771319
4,2.387261628,1.612738372,2.48770365
4,2.525702715,1.474297285,2.493533601
4,2.531822681,1.468177319,2.498823935
4,2.580782175,1.419217825,2.503972287
4,2.475914097,1.524085903,2.509655102
4,2.594541597,1.405458403,2.515729654
4,2.456486702,1.543513298,2.521415858
4,2.706598759,1.293401241,2.526272192
4,2.52116704,1.47883296,2.531447646
4,2.578263283,1.421736717,2.536611575
4,2.627348423,1.372651577,2.542583208
4,2.609118223,1.390881777,2.54785889
4,2.601702929,1.398297071,2.552886827
4,2.823997259,1.176002741,2.557298272
4,2.786866426,1.213133574,2.561635849
4,2.929598331,1.070401669,2.56560348
4,3.320752144,0.679247856,2.568361695
4,2.992066479,1.007933521,2.572707308
4,3.161549939,0.838450061,2.577669835
4,3.186414146,0.813585854,2.581957719
4,3.284555078,0.715444922,2.586098863
4,3.34428668,0.65571332,2.58885842
4,3.298950796,0.701049204,2.592476744
4,3.394867582,0.605132418,2.595531045
4,3.466357754,0.533642246,2.599893217
4,3.349291992,0.650708008,2.603344361
4,3.579719114,0.420280886,2.607441714
4,3.408808804,0.591191196,2.610353274
4,3.618411367,0.381588633,2.614151389
4,3.687961578,0.312038422,2.615952285
4,3.691678715,0.308321285,2.617625216
4,3.70163393,0.29836607,2.618867298
4,3.757302732,0.242697268,2.620401543
4,3.795158281,0.204841719,2.623137258
4,3.856484318,0.143515682,2.626734975
4,3.884708834,0.115291166,2.628452603
4,3.928505306,0.071494694,2.630669021
4,3.821756196,0.178243804,2.633421043
4,3.859554777,0.140445223,2.63656824
4,3.827541113,0.172458887,2.639317445
4,3.840870724,0.159129276,2.641350678
4,3.856417131,0.143582869,2.642728014
4,3.734794879,0.265205121,2.644828623
4,3.792213345,0.207786655,2.647052067
4,3.850922418,0.149077582,2.648912469
4,3.822343588,0.177656412,2.651479469
4,3.849869776,0.150130224,2.653504366
4,3.853237913,0.146762087,2.655220742
4,3.794799566,0.205200434,2.656871113
4,3.809056377,0.190943623,2.658049915
4,3.896007195,0.103992805,2.65896585
4,4.006203651,-0.006203651,2.659143674
4,3.964991951,0.035008049,2.660118937
4,3.947200251,0.052799749,2.66250684
4,3.979254837,0.020745163,2.664903166
4,3.989957216,0.010042784,2.665697282
4,3.975580645,0.024419355,2.667806091
4,3.968560696,0.031439304,2.671273656
4,3.892161283,0.107838717,2.672848756
4,4.018291168,-0.018291168,2.672115812
4,3.961081562,0.038918438,2.672122151
4,4.102697544,-0.102697544,2.671717732
4,3.958185694,0.041814306,2.672738254
4,3.941544247,0.058455753,2.674706067
4,3.926184821,0.073815179,2.677240538
4,3.982844868,0.017155132,2.679391094
4,3.991668129,0.008331871,2.682380147
4,3.997489047,0.002510953,2.684577119
4,3.991713047,0.008286953,2.68502041
4,3.985445356,0.014554644,2.68543457
4,3.987685609,0.012314391,2.68589581
4,4.106383414,-0.106383414,2.685536011
4,4.040277004,-0.040277004,2.685292289
6,3.994898214,2.005101786,2.692316353
6,4.014667478,1.985332522,2.70142554
6,4.204690418,1.795309582,2.70920081
6,4.409654213,1.590345787,2.716546175
6,4.524887562,1.475112438,2.722305887
6,4.492568302,1.507431698,2.728546785
6,4.598942843,1.401057157,2.736070331
6,4.609919739,1.390080261,2.743129036
6,4.713839054,1.286160946,2.748250928
6,4.536771965,1.463228035,2.753850242
6,4.523650551,1.476349449,2.760093851
6,4.625245333,1.374754667,2.766397777
6,4.642525244,1.357474756,2.772205108
6,4.689111757,1.310888243,2.779375393
6,4.823370934,1.176629066,2.784358665
6,4.721596384,1.278403616,2.790295269
6,4.746983719,1.253016281,2.796006954
6,4.928892967,1.071107033,2.800230361
6,5.117980003,0.882019997,2.803556954
6,4.907874107,1.092125893,2.807320522
6,5.69780159,0.30219841,2.809040378
6,5.586146015,0.413853985,2.812454128
6,5.78233099,0.21766901,2.813969885
6,5.643805361,0.356194639,2.81571747
6,5.702224684,0.297775316,2.818904736
6,5.761281443,0.238718557,2.820771058
6,5.659882641,0.340117359,2.822204092
6,5.722637653,0.277362347,2.826101646
6,5.878048422,0.121951578,2.830265
6,5.724104738,0.275895262,2.830487629
6,5.783314705,0.216685295,2.83090151
6,5.857545042,0.142454958,2.832263597
6,5.904894638,0.095105362,2.832309531
6,5.861665011,0.13833499,2.833298995
6,5.910499623,0.089500377,2.832207741
6,5.961444426,0.038555574,2.835687887
6,5.976447535,0.023552465,2.8379038
6,6.001049379,-0.001049379,2.836849957
6,5.889293671,0.110706329,2.836768432
6,5.895206928,0.104793072,2.837150417
6,5.899899483,0.100100517,2.837514533
6,6.093974377,-0.093974377,2.836363525
6,5.950553989,0.049446011,2.837396274
6,5.876462936,0.123537064,2.838137746
6,6.104688641,-0.104688641,2.837022247
6,6.159311295,-0.159311295,2.836316539
6,6.135367315,-0.135367315,2.835223869
6,6.100390209,-0.100390209,2.833848378
6,6.002198181,-0.002198181,2.83292072
6,6.077593327,-0.077593327,2.832527604
6,5.948141098,0.051858902,2.832610735
6,5.979736522,0.020263478,2.833219721
6,5.892898941,0.107101059,2.833401746
6,5.997208242,0.002791758,2.834325596
6,5.976705417,0.023294583,2.835240186
6,5.992927332,0.007072668,2.836184579
6,5.998093452,0.001906548,2.839108499
6,5.972547817,0.027452183,2.840650685
6,5.940662241,0.059337759,2.84253176
6,5.913910675,0.086089325,2.845416963
6,6.003648758,-0.003648758,2.846095461
6,5.878983974,0.121016026,2.846431387
6,5.940874672,0.059125328,2.84697375
6,5.942912579,0.057087421,2.847260896
6,6.105118748,-0.105118748,2.845872441
6,6.104628583,-0.104628583,2.844166618
6,6.148136616,-0.148136616,2.843381529
6,5.936521229,0.063478771,2.84504096
6,5.949536419,0.050463581,2.845970242
6,6.097465038,-0.097465038,2.84581771
6,6.103354002,-0.103354002,2.844810267
6,5.897395134,0.102604866,2.844831997
6,5.872393933,0.127606067,2.848071363
6,5.828373432,0.171626568,2.849453998
6,5.940180931,0.059819069,2.851256793
6,5.990940094,0.009059906,2.851758016
6,5.930324554,0.069675446,2.851960355
6,6.025059792,-0.025059792,2.851304728
6,5.961366463,0.038633537,2.852049654
6,6.098238468,-0.098238468,2.852045493
6,5.953028345,0.046971655,2.853282109
6,5.926577282,0.073422718,2.855713718
6,6.104169207,-0.104169207,2.855133722
6,5.886106491,0.113893509,2.857919087
6,6.090028286,-0.090028286,2.858558123
6,6.041608334,-0.041608334,2.858369597
6,5.999289513,0.000710487,2.8611383
6,5.835682869,0.164317131,2.862398956
6,6.00021553,-0.00021553,2.862529806
6,5.973236799,0.026763201,2.863279003
6,6.039916992,-0.039916992,2.863381341
6,5.970624685,0.029375315,2.864171917
6,5.967229033,0.032770968,2.865324506
6,5.970172548,0.029827452,2.866421843
6,5.996239204,0.003760796,2.868826992
6,6.011928558,-0.011928558,2.869412601
6,5.987260571,0.012739429,2.873610729
6,5.949815607,0.050184393,2.876218083
6,5.927772045,0.072227955,2.876821797
6,5.970354462,0.029645538,2.877709654
6,5.980977736,0.019022265,2.878759442
6,5.917006302,0.082993698,2.881315443
6,5.990048494,0.009951506,2.883378035
6,5.939002419,0.060997581,2.885485579
6,6.079857826,-0.079857826,2.885749958
6,5.957326508,0.042673492,2.88688093
6,5.926222897,0.073777103,2.889288077
6,5.974094105,0.025905895,2.890603658
6,5.955010653,0.044989347,2.892070607
6,5.90159893,0.09840107,2.895506045
6,5.915006924,0.084993076,2.898764572
6,5.98384422,0.01615578,2.90160224
6,5.971806622,0.028193378,2.903977674
6,5.872264767,0.127735233,2.908757888
6,5.969859266,0.030140734,2.910824016
6,5.955299521,0.04470048,2.912316756
6,5.993455572,0.006544428,2.914506799
6,5.985072842,0.014927158,2.916409958
6,5.989408064,0.010591936,2.919900705
6,5.958614311,0.041385689,2.92498932
6,5.981309128,0.018690872,2.929513773
6,5.969968796,0.030031204,2.931304174
6,5.942365742,0.057634258,2.933158183
6,5.964247894,0.035752106,2.934620316
6,5.982027912,0.017972088,2.938209551
6,5.97949481,0.02050519,2.942527473
6,5.916744375,0.083255625,2.945822672
6,5.906244278,0.093755722,2.949113877
6,5.980654416,0.019345584,2.952480687
6,6.002545834,-0.002545834,2.956021205
6,6.003804379,-0.003804379,2.961353942
6,5.984381533,0.015618467,2.964222763
6,5.99124084,0.00875916,2.967124805
6,5.98701138,0.01298862,2.971462351
6,5.949355125,0.050644875,2.975443247
6,5.904402733,0.095597267,2.979351435
6,5.93103056,0.068969441,2.982159057
6,5.9907407,0.0092593,2.984930073
6,5.998189507,0.001810493,2.987294841
6,5.997451892,0.002548108,2.991302795
6,5.99109488,0.00890512,2.994800078
6,5.989287396,0.010712605,2.99917244
6,5.996680727,0.003319273,3.002831081
6,5.997987452,0.002012548,3.006153986
6,5.996399174,0.003600826,3.009028169
8,5.993429174,2.006570826,3.017078881
8,6.184873629,1.815126371,3.028028085
8,6.131233215,1.868766785,3.038581643
8,6.034554815,1.965445185,3.048309122
8,6.16613369,1.83386631,3.05698094
8,6.187670708,1.812329292,3.066726392
8,6.285193014,1.714806986,3.074990851
8,6.281460238,1.718539763,3.082828421
8,6.310997673,1.689002327,3.090183254
8,6.310562796,1.689437204,3.098609287
8,6.412600661,1.587399339,3.1072772
8,6.304096327,1.695903673,3.116449699
8,6.425257869,1.574742131,3.12544979
8,6.421597958,1.578402042,3.132424418
8,6.593174458,1.406825542,3.137790746
8,6.963466167,1.036533833,3.141818501
8,6.589234352,1.410765648,3.146597872
8,6.42377305,1.57622695,3.152660839
8,6.407948017,1.592051983,3.1585284
8,6.39694241,1.60305759,3.166258166
8,6.408991241,1.591008759,3.173677598
8,6.583343315,1.416656685,3.179936792
8,6.702332973,1.297667027,3.184903514
8,6.683032131,1.316967869,3.192016747
8,6.470736504,1.529263496,3.198034428
8,6.538210917,1.461789084,3.203787933
8,6.638157082,1.361842918,3.209613848
8,6.506747246,1.493252754,3.215089699
8,6.700324726,1.299675274,3.220483392
8,6.892524719,1.107475281,3.224784063
8,6.776225567,1.223774433,3.229096611
8,6.764669991,1.23533001,3.233864871
8,6.764238291,1.235761709,3.23936079
8,6.850984383,1.149015617,3.244794164
8,7.178628445,0.821371555,3.248286129
8,6.93870945,1.06129055,3.25247484
8,6.765050888,1.234949112,3.25694173
8,6.752990675,1.247009325,3.26204595
8,6.971245718,1.028754282,3.266827145
8,7.215373993,0.784626007,3.270054132
8,6.794081306,1.205918694,3.274338405
8,6.622230492,1.377769508,3.279240686
8,6.873548985,1.126451015,3.283496905
8,6.652116346,1.347883654,3.288538808
8,6.753111839,1.246888161,3.293213164
8,6.705203056,1.294796944,3.297836106
8,6.854500103,1.145499897,3.302919344
8,6.839675903,1.160324097,3.307324651
8,6.867921639,1.132078362,3.311951104
8,6.737202835,1.262797165,3.317566052
8,6.935168266,1.064831734,3.321849958
8,7.129896641,0.870103359,3.325138113
8,7.038386345,0.961613655,3.328526714
8,7.039798737,0.960201263,3.331984568
8,7.436742783,0.563257217,3.334329849
8,6.933050442,1.066949558,3.339455043
8,6.976305151,1.023694849,3.344254095
8,6.981847715,1.018152285,3.348551918
8,6.970094729,1.029905272,3.353134484
8,7.199449539,0.800550461,3.356415267
8,6.958284998,1.041715002,3.361023728
8,6.959847212,1.040152788,3.366081726
8,7.079414368,0.920585632,3.369780588
8,6.789085388,1.210914612,3.373907617
8,7.10062027,0.89937973,3.377394612
8,6.9369874,1.0630126,3.381090551
8,7.278166294,0.721833706,3.383962096
8,7.022089005,0.977910995,3.387277713
8,7.213951588,0.786048412,3.390260978
8,7.335181713,0.664818287,3.392751308
8,7.319819927,0.680180073,3.395187666
8,7.032558918,0.967441082,3.398440646
8,7.36595583,0.63404417,3.400989922
8,7.433666706,0.566333294,3.402977454
8,7.093221188,0.906778812,3.405939377
8,7.002969265,0.997030735,3.409456486
8,7.216321945,0.783678055,3.412448409
8,7.063482761,0.936517239,3.4156976
8,6.956591797,1.043408203,3.420462243
8,7.640248775,0.359751225,3.422616812
8,7.129352093,0.870647907,3.425342428
8,7.373632356,0.626367644,3.426701886
8,7.511015415,0.488984585,3.428260455
8,7.708273888,0.291726112,3.429468476
8,7.731555462,0.268444538,3.431618303
8,7.82885313,0.17114687,3.432645071
8,7.648699284,0.351300716,3.434218409
8,7.732768583,0.267231417,3.436511294
8,7.561075687,0.438924313,3.441078133
8,7.609517336,0.390482664,3.444762787
8,7.702699471,0.29730053,3.448211064
8,7.746474648,0.253525353,3.450488178
8,7.745005798,0.254994202,3.452456218
8,7.802804089,0.197195911,3.455617657
8,7.746745873,0.253254128,3.45788634
8,7.815192556,0.184807444,3.460686982
8,7.745327282,0.254672718,3.462896277
8,7.688310623,0.311689377,3.464206389
8,7.808302069,0.191697931,3.467023283
8,7.834842873,0.165157127,3.469581266
8,7.865904045,0.134095955,3.47245721
8,7.906152687,0.093847313,3.47538075
8,7.869937973,0.130062027,3.478012001
8,7.883825836,0.116174164,3.480473338
8,7.915601969,0.084398031,3.483377423
8,7.960493565,0.039506435,3.485563225
8,7.966051102,0.033948898,3.487489887
8,7.932045555,0.067954445,3.489819771
8,7.956478643,0.043521357,3.491582004
8,7.964844608,0.035155392,3.492914526
8,7.932181454,0.067818546,3.495094688
8,7.95306735,0.04693265,3.496951351
8,7.963352251,0.036647749,3.498352949
8,7.890139103,0.109860897,3.501753742
8,7.918528175,0.081471825,3.504922841
8,7.935310173,0.064689827,3.507385931
8,7.951134634,0.048865366,3.50927168
8,7.929670858,0.070329142,3.511631819
8,7.953891754,0.046108246,3.515123555
8,7.932523108,0.067476893,3.517849795
8,7.941328955,0.058671045,3.520032399
8,7.961072731,0.038927269,3.522850764
8,7.870321083,0.129678917,3.526125007
8,7.959946632,0.040053368,3.529780899
8,7.89914227,0.10085773,3.532881182
8,7.884040833,0.115959167,3.536653936
8,7.955214024,0.044785976,3.538800711
8,7.930417728,0.069582272,3.541107302
8,7.97626019,0.02373981,3.543630608
8,7.948626919,0.051373081,3.546190953
8,7.925551748,0.074448252,3.548846489
8,7.915578365,0.084421635,3.549678456
8,7.991499414,0.008500586,3.551104009
8,7.981282854,0.018717146,3.552016094
8,7.941865969,0.058134031,3.55444336
8,7.953451157,0.046548843,3.55639745
8,8.014769263,-0.014769263,3.558234447
8,7.994365525,0.005634475,3.560230559
8,7.972989273,0.027010727,3.562716947
8,7.980223551,0.019776449,3.563572296
8,7.995129547,0.004870453,3.565014235
8,7.985219865,0.014780135,3.566742309
8,7.994154844,0.005845156,3.568761363
8,7.97731247,0.02268753,3.572664226
8,7.849740982,0.150259018,3.576866452
8,7.960074425,0.039925575,3.580698451
8,7.991135106,0.008864894,3.584012561
8,7.992364049,0.007635951,3.586859819
8,7.941089149,0.058910851,3.589965734
8,8.01412035,-0.01412035,3.592324904
8,7.993431549,0.006568451,3.594857668
